id,sensor_type,value,timestamp
93,temperature,77.45,2024-12-20 00:21:16
94,total dissolved solids,0.3,2024-12-20 00:21:16
95,turbidity,1.25,2024-12-20 00:21:16
96,turbidity,2988.55,2024-12-20 00:21:18
97,total dissolved solids,713.94,2024-12-20 00:21:18
98,temperature,77.34,2024-12-20 00:21:19
99,total dissolved solids,0.3,2024-12-20 00:21:20
100,turbidity,1.25,2024-12-20 00:21:20
101,temperature,77.34,2024-12-20 00:21:22
102,total dissolved solids,0.3,2024-12-20 00:21:22
103,turbidity,1.25,2024-12-20 00:21:22
104,temperature,77.22,2024-12-20 00:21:24
105,total dissolved solids,0.33,2024-12-20 00:21:25
106,turbidity,1.37,2024-12-20 00:21:25
107,total dissolved solids,0.33,2024-12-20 00:21:27
108,turbidity,1.37,2024-12-20 00:21:27
109,temperature,77.22,2024-12-20 00:21:27
110,total dissolved solids,0.3,2024-12-20 00:21:29
111,turbidity,2983.44,2024-12-20 00:21:29
112,temperature,77.22,2024-12-20 00:21:30
113,total dissolved solids,0.33,2024-12-20 00:21:31
114,turbidity,1.37,2024-12-20 00:21:31
115,temperature,77.11,2024-12-20 00:21:33
116,total dissolved solids,0.33,2024-12-20 00:21:33
117,turbidity,1.37,2024-12-20 00:21:33
118,total dissolved solids,0.33,2024-12-20 00:21:35
119,turbidity,1.37,2024-12-20 00:21:35
120,temperature,77.11,2024-12-20 00:21:36
121,total dissolved solids,1.71,2024-12-20 00:21:37
122,turbidity,7.17,2024-12-20 00:21:37
123,temperature,77.0,2024-12-20 00:21:39
124,total dissolved solids,1.41,2024-12-20 00:21:40
125,turbidity,5.92,2024-12-20 00:21:40
126,turbidity,2981.61,2024-12-20 00:21:42
127,total dissolved solids,712.28,2024-12-20 00:21:42
128,temperature,77.0,2024-12-20 00:21:42
129,total dissolved solids,0.3,2024-12-20 00:21:44
130,turbidity,1.25,2024-12-20 00:21:44
131,temperature,77.0,2024-12-20 00:21:45
132,total dissolved solids,0.3,2024-12-20 00:21:46
133,turbidity,1.25,2024-12-20 00:21:46
134,temperature,76.89,2024-12-20 00:21:48
135,total dissolved solids,0.3,2024-12-20 00:21:48
136,turbidity,1.25,2024-12-20 00:21:48
137,total dissolved solids,0.3,2024-12-20 00:21:50
138,turbidity,1.25,2024-12-20 00:21:50
139,temperature,76.89,2024-12-20 00:21:51
140,total dissolved solids,0.3,2024-12-20 00:21:52
141,turbidity,1.25,2024-12-20 00:21:52
142,temperature,76.89,2024-12-20 00:21:54
143,total dissolved solids,0.33,2024-12-20 00:21:54
144,turbidity,1.37,2024-12-20 00:21:54
145,total dissolved solids,0.33,2024-12-20 00:21:56
146,turbidity,1.37,2024-12-20 00:21:56
147,temperature,76.89,2024-12-20 00:21:56
148,total dissolved solids,713.59,2024-12-20 00:21:59
149,turbidity,2987.08,2024-12-20 00:21:59
150,temperature,76.78,2024-12-20 00:21:59
151,total dissolved solids,0.3,2024-12-20 00:22:01
152,turbidity,1.25,2024-12-20 00:22:01
153,temperature,76.78,2024-12-20 00:22:02
154,turbidity,2992.19,2024-12-20 00:22:03
155,total dissolved solids,714.81,2024-12-20 00:22:03
156,total dissolved solids,0.3,2024-12-20 00:22:05
157,turbidity,1.25,2024-12-20 00:22:05
158,temperature,76.78,2024-12-20 00:22:05
159,total dissolved solids,0.33,2024-12-20 00:22:07
160,turbidity,1.37,2024-12-20 00:22:07
161,temperature,76.78,2024-12-20 00:22:08
162,total dissolved solids,0.33,2024-12-20 00:22:09
163,turbidity,1.37,2024-12-20 00:22:09
164,temperature,76.78,2024-12-20 00:22:11
165,total dissolved solids,0.33,2024-12-20 00:22:11
166,turbidity,1.37,2024-12-20 00:22:11
167,total dissolved solids,0.3,2024-12-20 00:22:13
168,turbidity,1.25,2024-12-20 00:22:13
169,temperature,76.66,2024-12-20 00:22:14
170,total dissolved solids,697.83,2024-12-22 00:45:57
171,turbidity,1.25,2024-12-22 00:45:58
172,temperature,71.83,2024-12-22 00:45:58
173,total dissolved solids,0.3,2024-12-22 00:46:00
174,turbidity,2919.51,2024-12-22 00:46:00
175,temperature,71.83,2024-12-22 00:46:01
176,total dissolved solids,0.3,2024-12-22 00:46:02
177,turbidity,2919.73,2024-12-22 00:46:02
178,total dissolved solids,0.33,2024-12-22 00:46:04
179,turbidity,2932.93,2024-12-22 00:46:04
180,temperature,71.83,2024-12-22 00:46:04
181,total dissolved solids,0.33,2024-12-22 00:46:06
182,turbidity,2929.97,2024-12-22 00:46:06
183,temperature,71.83,2024-12-22 00:46:07
184,total dissolved solids,700.43,2024-12-22 00:46:08
185,turbidity,2932.02,2024-12-22 00:46:08
186,temperature,71.83,2024-12-22 00:46:10
187,turbidity,2927.01,2024-12-22 00:46:10
188,total dissolved solids,0.3,2024-12-22 00:46:10
189,total dissolved solids,701.11,2024-12-22 00:46:12
190,turbidity,2934.86,2024-12-22 00:46:12
191,temperature,71.83,2024-12-22 00:46:13
192,total dissolved solids,0.3,2024-12-22 00:46:14
193,turbidity,1.25,2024-12-22 00:46:14
194,temperature,71.83,2024-12-22 00:46:16
195,total dissolved solids,0.3,2024-12-22 00:46:17
196,turbidity,1.25,2024-12-22 00:46:17
197,turbidity,2928.04,2024-12-22 00:46:19
198,total dissolved solids,0.3,2024-12-22 00:46:19
199,temperature,71.83,2024-12-22 00:46:19
200,turbidity,2925.76,2024-12-22 00:46:21
201,total dissolved solids,0.3,2024-12-22 00:46:21
202,temperature,71.83,2024-12-22 00:46:22
203,turbidity,2929.97,2024-12-22 00:46:23
204,total dissolved solids,0.3,2024-12-22 00:46:23
205,temperature,71.83,2024-12-22 00:46:25
206,turbidity,2928.15,2024-12-22 00:46:25
207,total dissolved solids,699.51,2024-12-22 00:46:25
208,total dissolved solids,699.86,2024-12-22 00:46:27
209,turbidity,2929.63,2024-12-22 00:46:27
210,temperature,71.83,2024-12-22 00:46:28
211,total dissolved solids,699.89,2024-12-22 00:46:29
212,turbidity,2929.75,2024-12-22 00:46:29
213,temperature,71.83,2024-12-22 00:46:31
214,total dissolved solids,0.33,2024-12-22 00:46:31
215,turbidity,1.37,2024-12-22 00:46:31
216,total dissolved solids,699.73,2024-12-22 00:46:34
217,turbidity,2929.06,2024-12-22 00:46:34
218,temperature,71.83,2024-12-22 00:46:34
219,total dissolved solids,0.3,2024-12-22 00:46:36
220,turbidity,2932.25,2024-12-22 00:46:36
221,temperature,71.83,2024-12-22 00:46:37
222,total dissolved solids,0.3,2024-12-22 00:46:38
223,turbidity,2928.15,2024-12-22 00:46:38
224,temperature,71.83,2024-12-22 00:46:40
225,total dissolved solids,0.3,2024-12-22 00:46:40
226,turbidity,2928.38,2024-12-22 00:46:40
227,turbidity,3004.93,2024-12-22 04:10:27
228,total dissolved solids,718.89,2024-12-22 04:10:27
229,temperature,71.26,2024-12-22 04:10:28
230,turbidity,3003.68,2024-12-22 04:10:30
231,total dissolved solids,0.3,2024-12-22 04:10:30
232,temperature,71.38,2024-12-22 04:10:31
233,turbidity,3006.98,2024-12-22 04:10:32
234,total dissolved solids,0.3,2024-12-22 04:10:32
235,temperature,71.38,2024-12-22 04:10:34
236,total dissolved solids,720.68,2024-12-22 04:10:35
237,turbidity,3016.76,2024-12-22 04:10:35
238,turbidity,3019.61,2024-12-22 04:10:37
239,temperature,71.38,2024-12-22 04:10:37
240,total dissolved solids,0.3,2024-12-22 04:10:37
241,turbidity,3016.08,2024-12-22 04:10:39
242,total dissolved solids,0.3,2024-12-22 04:10:39
243,temperature,71.26,2024-12-22 04:10:40
244,turbidity,3010.51,2024-12-22 04:10:41
245,total dissolved solids,0.3,2024-12-22 04:10:42
246,temperature,71.38,2024-12-22 04:10:43
247,turbidity,3006.87,2024-12-22 04:10:44
248,total dissolved solids,0.3,2024-12-22 04:10:44
249,turbidity,3004.59,2024-12-22 04:10:46
250,temperature,71.71,2024-12-22 04:10:46
251,total dissolved solids,0.3,2024-12-22 04:10:46
252,turbidity,3010.73,2024-12-22 04:10:48
253,total dissolved solids,0.3,2024-12-22 04:10:48
254,temperature,73.17,2024-12-22 04:10:49
255,turbidity,3014.83,2024-12-22 04:10:50
256,total dissolved solids,0.3,2024-12-22 04:10:50
257,temperature,73.74,2024-12-22 04:10:52
258,turbidity,3010.73,2024-12-22 04:10:52
259,total dissolved solids,0.3,2024-12-22 04:10:52
260,turbidity,3013.01,2024-12-22 04:10:54
261,total dissolved solids,0.3,2024-12-22 04:10:55
262,temperature,73.74,2024-12-22 04:10:55
263,turbidity,3017.9,2024-12-22 04:10:56
264,total dissolved solids,0.3,2024-12-22 04:10:57
265,temperature,73.74,2024-12-22 04:10:58
266,turbidity,3012.67,2024-12-22 04:10:58
267,total dissolved solids,0.3,2024-12-22 04:10:59
268,turbidity,3015.06,2024-12-22 04:11:01
269,temperature,73.62,2024-12-22 04:11:01
270,total dissolved solids,0.33,2024-12-22 04:11:01
271,turbidity,3017.79,2024-12-22 04:11:03
272,total dissolved solids,0.3,2024-12-22 04:11:03
273,temperature,73.51,2024-12-22 04:11:04
274,turbidity,3015.74,2024-12-22 04:11:05
275,total dissolved solids,0.3,2024-12-22 04:11:05
276,temperature,73.4,2024-12-22 04:11:07
277,turbidity,3012.67,2024-12-22 04:11:07
278,total dissolved solids,0.3,2024-12-22 04:11:08
279,turbidity,3013.81,2024-12-22 04:11:09
280,temperature,73.29,2024-12-22 04:11:10
281,total dissolved solids,0.3,2024-12-22 04:11:10
282,turbidity,3015.28,2024-12-22 04:11:11
283,total dissolved solids,0.3,2024-12-22 04:11:12
284,temperature,73.29,2024-12-22 04:11:13
285,turbidity,3011.76,2024-12-22 04:11:14
286,total dissolved solids,0.33,2024-12-22 04:11:14
287,temperature,73.17,2024-12-22 04:11:15
288,turbidity,3015.06,2024-12-22 04:11:16
289,total dissolved solids,0.3,2024-12-22 04:11:16
290,turbidity,3013.01,2024-12-22 04:11:18
291,temperature,73.06,2024-12-22 04:11:18
292,total dissolved solids,0.3,2024-12-22 04:11:19
293,turbidity,3009.48,2024-12-22 04:11:20
294,total dissolved solids,0.3,2024-12-22 04:11:21
295,temperature,73.06,2024-12-22 04:11:21
296,turbidity,3013.12,2024-12-22 04:11:22
297,total dissolved solids,0.3,2024-12-22 04:11:23
298,turbidity,3012.1,2024-12-22 04:11:24
299,temperature,73.06,2024-12-22 04:11:24
300,total dissolved solids,0.3,2024-12-22 04:11:25
301,turbidity,3010.85,2024-12-22 04:11:26
302,temperature,72.95,2024-12-22 04:11:27
303,total dissolved solids,0.3,2024-12-22 04:11:27
304,turbidity,3016.99,2024-12-22 04:11:28
305,total dissolved solids,0.3,2024-12-22 04:11:30
306,temperature,72.95,2024-12-22 04:11:30
307,turbidity,3010.62,2024-12-22 04:11:30
308,total dissolved solids,0.33,2024-12-22 04:11:32
309,turbidity,3017.11,2024-12-22 04:11:33
310,temperature,72.84,2024-12-22 04:11:33
311,total dissolved solids,0.3,2024-12-22 04:11:34
312,turbidity,3010.73,2024-12-22 04:11:35
313,total dissolved solids,0.3,2024-12-22 04:11:36
314,temperature,72.84,2024-12-22 04:11:36
315,turbidity,3016.42,2024-12-22 04:11:37
316,total dissolved solids,0.3,2024-12-22 04:11:38
317,turbidity,2999.25,2024-12-22 04:11:39
318,temperature,72.84,2024-12-22 04:11:39
319,total dissolved solids,0.3,2024-12-22 04:11:40
320,turbidity,3011.99,2024-12-22 04:11:41
321,temperature,72.72,2024-12-22 04:11:42
322,total dissolved solids,0.3,2024-12-22 04:11:42
323,turbidity,3011.42,2024-12-22 04:11:43
324,total dissolved solids,0.3,2024-12-22 04:11:44
325,temperature,72.72,2024-12-22 04:11:45
326,turbidity,3012.9,2024-12-22 04:11:45
327,total dissolved solids,0.3,2024-12-22 04:11:47
328,turbidity,3009.37,2024-12-22 04:11:47
329,temperature,72.72,2024-12-22 04:11:48
330,total dissolved solids,0.3,2024-12-22 04:11:49
331,turbidity,3012.33,2024-12-22 04:11:50
332,temperature,72.61,2024-12-22 04:11:51
333,total dissolved solids,0.3,2024-12-22 04:11:51
334,turbidity,3012.33,2024-12-22 04:11:52
335,total dissolved solids,0.3,2024-12-22 04:11:53
336,temperature,72.61,2024-12-22 04:11:54
337,turbidity,3015.06,2024-12-22 04:11:54
338,total dissolved solids,0.3,2024-12-22 04:11:55
339,turbidity,3012.44,2024-12-22 04:11:56
340,temperature,72.61,2024-12-22 04:11:57
341,total dissolved solids,0.3,2024-12-22 04:11:57
342,turbidity,3010.62,2024-12-22 04:11:58
343,temperature,72.61,2024-12-22 04:11:59
344,total dissolved solids,0.3,2024-12-22 04:12:00
345,turbidity,3011.42,2024-12-22 04:12:00
346,total dissolved solids,0.3,2024-12-22 04:12:02
347,turbidity,3015.28,2024-12-22 04:12:02
348,temperature,72.5,2024-12-22 04:12:02
349,total dissolved solids,0.3,2024-12-22 04:12:04
350,turbidity,3011.19,2024-12-22 04:12:04
351,temperature,72.5,2024-12-22 04:12:05
352,total dissolved solids,0.3,2024-12-22 04:12:06
353,turbidity,3013.58,2024-12-22 04:12:07
354,total dissolved solids,0.3,2024-12-22 04:12:08
355,temperature,73.06,2024-12-22 04:12:08
356,turbidity,2995.15,2024-12-22 04:12:09
357,total dissolved solids,0.3,2024-12-22 04:12:10
358,turbidity,2985.94,2024-12-22 04:12:11
359,temperature,74.53,2024-12-22 04:12:11
360,total dissolved solids,0.3,2024-12-22 04:12:12
361,turbidity,2983.44,2024-12-22 04:12:13
362,temperature,75.65,2024-12-22 04:12:14
363,total dissolved solids,0.3,2024-12-22 04:12:14
364,turbidity,2981.27,2024-12-22 04:12:15
365,total dissolved solids,0.3,2024-12-22 04:12:16
366,temperature,76.44,2024-12-22 04:12:17
367,turbidity,2981.84,2024-12-22 04:12:17
368,total dissolved solids,0.3,2024-12-22 04:12:19
369,turbidity,3011.3,2024-12-22 04:12:19
370,temperature,77.0,2024-12-22 04:12:20
371,total dissolved solids,0.3,2024-12-22 04:12:21
372,turbidity,3010.17,2024-12-22 04:12:21
373,temperature,77.45,2024-12-22 04:12:23
374,total dissolved solids,0.3,2024-12-22 04:12:23
375,turbidity,3012.67,2024-12-22 04:12:23
376,total dissolved solids,0.3,2024-12-22 04:12:25
377,turbidity,3013.81,2024-12-22 04:12:26
378,temperature,77.9,2024-12-22 04:12:26
379,total dissolved solids,0.3,2024-12-22 04:12:27
380,turbidity,3008.91,2024-12-22 04:12:28
381,temperature,78.12,2024-12-22 04:12:29
382,total dissolved solids,0.3,2024-12-22 04:12:29
383,turbidity,2947.95,2024-12-22 04:12:30
384,total dissolved solids,0.3,2024-12-22 04:12:31
385,temperature,78.35,2024-12-22 04:12:32
386,turbidity,3017.11,2024-12-22 04:12:32
387,total dissolved solids,0.3,2024-12-22 04:12:33
388,turbidity,3011.99,2024-12-22 04:12:34
389,temperature,78.35,2024-12-22 04:12:35
390,total dissolved solids,0.3,2024-12-22 04:12:36
391,turbidity,3016.42,2024-12-22 04:12:36
392,total dissolved solids,0.3,2024-12-22 04:12:38
393,temperature,78.12,2024-12-22 04:12:38
394,turbidity,3000.5,2024-12-22 04:12:38
395,total dissolved solids,0.3,2024-12-22 04:12:40
396,turbidity,3010.85,2024-12-22 04:12:40
397,temperature,78.01,2024-12-22 04:12:41
398,total dissolved solids,0.3,2024-12-22 04:12:42
399,turbidity,3014.6,2024-12-22 04:12:43
400,temperature,77.79,2024-12-22 04:12:44
401,total dissolved solids,0.3,2024-12-22 04:12:44
402,turbidity,3014.15,2024-12-22 04:12:45
403,total dissolved solids,0.3,2024-12-22 04:12:46
404,temperature,77.56,2024-12-22 04:12:47
405,turbidity,3010.62,2024-12-22 04:12:47
406,total dissolved solids,0.3,2024-12-22 04:12:49
407,turbidity,3011.87,2024-12-22 04:12:49
408,temperature,77.45,2024-12-22 04:12:50
409,total dissolved solids,0.3,2024-12-22 04:12:51
410,turbidity,3016.08,2024-12-22 04:12:51
411,temperature,77.45,2024-12-22 04:12:53
412,total dissolved solids,0.3,2024-12-22 04:12:53
413,turbidity,3007.78,2024-12-22 04:12:53
414,total dissolved solids,0.33,2024-12-22 04:12:55
415,turbidity,3014.03,2024-12-22 04:12:56
416,temperature,77.9,2024-12-22 04:12:56
417,total dissolved solids,0.33,2024-12-22 04:12:57
418,turbidity,2997.88,2024-12-22 04:12:58
419,temperature,78.35,2024-12-22 04:12:59
420,total dissolved solids,0.3,2024-12-22 04:12:59
421,turbidity,3014.26,2024-12-22 04:13:00
422,total dissolved solids,0.33,2024-12-22 04:13:01
423,temperature,78.8,2024-12-22 04:13:02
424,turbidity,3013.58,2024-12-22 04:13:02
425,total dissolved solids,0.33,2024-12-22 04:13:04
426,turbidity,3013.47,2024-12-22 04:13:04
427,temperature,79.14,2024-12-22 04:13:05
428,total dissolved solids,0.33,2024-12-22 04:13:06
429,turbidity,3016.08,2024-12-22 04:13:06
430,total dissolved solids,0.3,2024-12-22 04:13:08
431,temperature,79.36,2024-12-22 04:13:08
432,turbidity,3008.01,2024-12-22 04:13:08
433,total dissolved solids,0.3,2024-12-22 04:13:10
434,turbidity,3010.05,2024-12-22 04:13:10
435,temperature,79.47,2024-12-22 04:13:11
436,total dissolved solids,0.3,2024-12-22 04:13:12
437,turbidity,3015.97,2024-12-22 04:13:12
438,temperature,79.59,2024-12-22 04:13:14
439,total dissolved solids,0.33,2024-12-22 04:13:14
440,turbidity,3003.91,2024-12-22 04:13:15
441,total dissolved solids,0.3,2024-12-22 04:13:16
442,turbidity,3016.31,2024-12-22 04:13:17
443,temperature,79.7,2024-12-22 04:13:17
444,total dissolved solids,0.3,2024-12-22 04:13:18
445,turbidity,3013.24,2024-12-22 04:13:19
446,temperature,79.92,2024-12-22 04:13:20
447,total dissolved solids,0.3,2024-12-22 04:13:20
448,turbidity,3009.82,2024-12-22 04:13:21
449,temperature,79.92,2024-12-22 04:13:23
450,total dissolved solids,0.33,2024-12-22 04:13:23
451,turbidity,3011.42,2024-12-22 04:13:23
452,total dissolved solids,0.3,2024-12-22 04:13:25
453,turbidity,3008.35,2024-12-22 04:13:25
454,temperature,80.04,2024-12-22 04:13:25
455,total dissolved solids,0.3,2024-12-22 04:13:27
456,turbidity,3013.35,2024-12-22 04:13:27
457,temperature,80.15,2024-12-22 04:13:28
458,total dissolved solids,0.3,2024-12-22 04:13:29
459,turbidity,3014.94,2024-12-22 04:13:29
460,temperature,80.26,2024-12-22 04:13:31
461,total dissolved solids,0.3,2024-12-22 04:13:31
462,turbidity,3011.64,2024-12-22 04:13:32
463,total dissolved solids,0.33,2024-12-22 04:13:33
464,turbidity,3007.55,2024-12-22 04:13:34
465,temperature,80.38,2024-12-22 04:13:34
466,total dissolved solids,0.3,2024-12-22 04:13:36
467,turbidity,3004.93,2024-12-22 04:13:36
468,temperature,80.94,2024-12-22 04:13:37
469,total dissolved solids,0.33,2024-12-22 04:13:38
470,turbidity,3015.63,2024-12-22 04:13:38
471,total dissolved solids,0.33,2024-12-22 04:13:40
472,turbidity,2996.52,2024-12-22 04:13:40
473,temperature,81.5,2024-12-22 04:13:40
474,total dissolved solids,0.3,2024-12-22 04:13:42
475,turbidity,3012.33,2024-12-22 04:13:42
476,temperature,81.84,2024-12-22 04:13:43
477,total dissolved solids,0.33,2024-12-22 04:13:44
478,turbidity,3007.32,2024-12-22 04:13:44
479,temperature,82.17,2024-12-22 04:13:46
480,total dissolved solids,0.3,2024-12-22 04:13:46
481,turbidity,3016.54,2024-12-22 04:13:46
482,total dissolved solids,0.33,2024-12-22 04:13:48
483,turbidity,3009.48,2024-12-22 04:13:48
484,temperature,82.51,2024-12-22 04:13:49
485,total dissolved solids,0.33,2024-12-22 04:13:50
486,turbidity,3007.78,2024-12-22 04:13:51
487,temperature,82.85,2024-12-22 04:13:52
488,total dissolved solids,0.3,2024-12-22 04:13:53
489,turbidity,3012.56,2024-12-22 04:13:53
490,temperature,83.08,2024-12-22 04:13:55
491,total dissolved solids,0.3,2024-12-22 04:13:55
492,turbidity,3008.46,2024-12-22 04:13:55
493,total dissolved solids,0.3,2024-12-22 04:13:57
494,turbidity,3010.62,2024-12-22 04:13:57
495,temperature,83.08,2024-12-22 04:13:58
496,total dissolved solids,0.33,2024-12-22 04:13:59
497,turbidity,3012.21,2024-12-22 04:13:59
498,temperature,82.85,2024-12-22 04:14:01
499,total dissolved solids,0.3,2024-12-22 04:14:01
500,turbidity,3001.75,2024-12-22 04:14:01
501,total dissolved solids,0.33,2024-12-22 04:14:03
502,temperature,82.62,2024-12-22 04:14:03
503,turbidity,3019.27,2024-12-22 04:14:03
504,total dissolved solids,0.3,2024-12-22 04:14:06
505,turbidity,3018.01,2024-12-22 04:14:06
506,temperature,82.4,2024-12-22 04:14:06
507,total dissolved solids,0.33,2024-12-22 04:14:08
508,turbidity,3016.2,2024-12-22 04:14:08
509,temperature,82.17,2024-12-22 04:14:09
510,total dissolved solids,0.3,2024-12-22 04:14:10
511,turbidity,3009.6,2024-12-22 04:14:10
512,turbidity,1.37,2024-12-22 04:14:12
513,total dissolved solids,0.33,2024-12-22 04:14:12
514,temperature,82.06,2024-12-22 04:14:12
515,turbidity,3012.56,2024-12-22 04:14:14
516,total dissolved solids,719.67,2024-12-22 04:14:14
517,temperature,81.84,2024-12-22 04:14:15
518,total dissolved solids,720.6,2024-12-22 04:14:16
519,turbidity,3016.42,2024-12-22 04:14:16
520,temperature,81.61,2024-12-22 04:14:18
521,turbidity,3013.35,2024-12-22 04:14:18
522,total dissolved solids,719.86,2024-12-22 04:14:18
523,total dissolved solids,719.51,2024-12-22 04:14:20
524,turbidity,3011.87,2024-12-22 04:14:20
525,temperature,81.39,2024-12-22 04:14:21
526,total dissolved solids,0.3,2024-12-22 04:14:23
527,turbidity,3010.96,2024-12-22 04:14:23
528,temperature,81.28,2024-12-22 04:14:24
529,total dissolved solids,0.3,2024-12-22 04:14:25
530,turbidity,3011.53,2024-12-22 04:14:25
531,temperature,81.05,2024-12-22 04:14:27
532,total dissolved solids,0.3,2024-12-22 04:14:27
533,turbidity,1.25,2024-12-22 04:14:27
534,total dissolved solids,0.33,2024-12-22 04:14:29
535,turbidity,3009.82,2024-12-22 04:14:29
536,temperature,80.94,2024-12-22 04:14:30
537,total dissolved solids,0.3,2024-12-22 04:14:31
538,turbidity,1.25,2024-12-22 04:14:31
539,temperature,80.71,2024-12-22 04:14:33
540,total dissolved solids,721.93,2024-12-22 04:14:33
541,turbidity,3022.0,2024-12-22 04:14:33
542,turbidity,3009.14,2024-12-22 04:14:35
543,total dissolved solids,718.86,2024-12-22 04:14:35
544,temperature,80.49,2024-12-22 04:14:36
545,turbidity,3012.21,2024-12-22 04:14:37
546,total dissolved solids,0.3,2024-12-22 04:14:38
547,temperature,80.38,2024-12-22 04:14:39
548,turbidity,3004.93,2024-12-22 04:14:40
549,total dissolved solids,0.33,2024-12-22 04:14:40
550,temperature,80.15,2024-12-22 04:14:42
551,turbidity,3014.72,2024-12-22 04:14:42
552,total dissolved solids,0.3,2024-12-22 04:14:42
553,turbidity,3008.12,2024-12-22 04:14:44
554,total dissolved solids,0.3,2024-12-22 04:14:44
555,temperature,80.04,2024-12-22 04:14:45
556,turbidity,3010.85,2024-12-22 04:14:46
